Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Wobot Intelligence,2016,New Delhi,Technology,AI backed video analytics platform,"Adit Chhabra, Tapan Dixit,Tanay Dixit.",Sequoia Capital India,2500000.0,Pre-series A,2020
DrinkPrime,2016,Bangalore,Manufacturing,Subscription-based Water purifier startup,"Viijender Reddy, Manas Ranjan Hota",Sequoia Surge,2879000.0,Pre-series A,2020
Rebel Foods,2011,Mumbai,Food & Beverages,Cloud kitchen platform,"Jaydeep Barman, Kallol Bannerjee",Coatue Management,26500000.0,Series E,2020
Hevo,2017,Bangalore,Technology,Data pipeline startup,"Manish Jethani, Sourabh Agarwal","Qualgro, Lachy Groom",8000000.0,Series A,2020
BigSpoon Foods,2019,Ahmedabad,Food & Beverages,Cloud kitchen startup,"Kapil Mathrani, Rohan Bhatt, Poojan Thakkar","Urmin Family Office, Lemonade Ventures, TrueValue Group MD Yash Shah",2000000.0,Pre-series A,2020
Chingari,2016,Bangalore,Media & Entertainment,Homegrown short video platform,Sumit Ghosh,"LogX Ventures, AngelList’s Utsav Somani, NowFloats’ Jasminder Singh Gulati, AL Trust (Vistra ITCL), Village Global.",1000000.0,Pre-series A,2020
Toppr,2013,Mumbai,Education,It provides AI-based after school learning app for K12,Zishaan Hayath,Foundation Holdings,46761000.0,Series D,2020
Pickright Technologies,2019,Bangalore,Finance,Marketplace for stock market investors and advisors,"Archana Elapavuluri, Namandeep Bhatia, Siddharth Panjwani","Sanjay Mehta, Vikram Pandya, Gaurav Gupta, Vivel Srivatsav, Madhavi Bollipalli, Srinivas Paanem, Satish Bogullu",175000.0,Pre-series A,2020
Entri,2017,Kochi,Education,Local language learning startup,Mohammed Hisamuddin,Good Capital,1700000.0,Pre-series A,2020
MPowered,2016,Gurgaon,Technology,Asset Management Solutions,Sudeep Singh,"Ashok Nichani, Shelly Nichani",21000000.0,Pre-series A,2020
Ather Energy,2013,Bangalore,Technology,Electric scooter manufacturer,"Tarun Mehta, Swapnil Jain",Hero MotoCorp,11241000.0,Series C,2020
Vegrow,2020,Bangalore,Agriculture,It is building an asset-light farm by partnering with small farms on a profit-sharing model,"Praneeth Kumar, Shobhit Jain, Mrudhukar Batchu, Kiran Naik","Matrix Partners India, Ankur Capital",2500000.0,Pre-series A,2020
StyleDotMe,2014,Gurgaon,Beauty & Fashion,"mirrAR, helps jewellers sell jewellery with no physical inventory","Meghna Saraogi, Akhil Tolani",Survam Partners,467000.0,Pre-series A,2020
Vedantu,2011,Bangalore,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",Coatue,100000000.0,Series D,2020
Yumlane,2016,Mumbai,Technology,Online retailer that offers a range of on-the-go hot snacking and meals,Hitesh Ahuja,Jetty Ventures,1000000.0,Pre-series A,2020
