Company Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount,Stage,Year
Krayonnz,2019,Bangalore,Education,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre-series A,2020
qZense,2019,Bangalore,Agriculture,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Pre-series A,2020
MyClassboard,2008,Hyderabad,Education,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Pre-series A,2020
Rupeek,2015,Bangalore,Finance,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Series C,2020
Gig India,2017,Pune,Finance,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020
Slurrp Farm,2016,Gurgaon,Food & Beverages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A,2020
Shiprocket,2017,New Delhi,Commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C,2020
CoinDCX,2017,Mumbai,Finance,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series B,2020
Arya,1982,Noida,Agriculture,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Series B,2020
Countingwell,2018,Bangalore,Education,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Pre-series A,2020
Callify.ai,2016,Mumbai,Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Pre-series A,2020
Cover it Up,2013,Chennai,Commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Pre-series A,2020
BiteSpeed,2019,Gurgaon,Commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Pre-series A,2020
WakeFit,2016,Bangalore,Commerce,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series B,2020
PagarBook,2019,Bangalore,Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series A,2020
Infinite Uptime,2015,Pune,Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B,2020
HappyLocate,2016,Bangalore,Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Pre-series A,2020
Loop Health,2017,Pune,Health,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Pre-series A,2020
TagMango,2019,Mumbai,Commerce,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Pre-series A,2020
The New Shop,2019,New Delhi,Commerce,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Pre-series A,2020
BHIVE Investech,2014,Bangalore,Business Intelligence,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Pre-series A,2020
Bombay Play,2017,Bangalore,Manufacturing,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Pre-series A,2020
Atomberg Technologies,2012,Mumbai,Manufacturing,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Series B,2020
DealShare,2018,Jaipur,Commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Series C,2020
CueMath,2011,Bangalore,Education,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000.0,Series C,2020
5C Network,2014,Bangalore,Health,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-series A,2020
Ethereum Push Notification Service,2020,Mumbai,Finance,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Pre-series A,2020
Mihup,2016,Kolkata,Technology,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series A,2020
WayCool Foods,2015,Chennai,Agriculture,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Debt,2020
Infra.Market,2016,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B,2020
Clovia,2013,Noida,Commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Pre-series A,2020
Codingal,2020,Bangalore,Education,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Pre-series A,2020
CRED,2018,Bangalore,Finance,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Series C,2020
SAWO Labs,2020,Mumbai,Technology,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Pre-series A,2020
GetWork,2019,Gurgaon,Business Intelligence,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-series A,2020
Mobile Premier League (MPL),2018,Bangalore,Manufacturing,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series B,2020
NewsReach,2018,Gujarat,Media & Entertainment,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Pre-series A,2020
Cashfree,2015,Bangalore,Finance,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Series B,2020
Credgenics,2018,New Delhi,Finance,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020
GeoIQ,2018,Bangalore,Technology,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Pre-series A,2020
Country Delight,2015,Haryana,Agriculture,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000.0,Series C,2020
Quintype,2014,Bangalore,Business Intelligence,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000.0,Series A,2020
CARS24,2015,Haryana,Commerce,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000.0,Series E,2020
Cityflo,2015,Mumbai,Transport,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Series A,2020
Credgenics,2018,Gurgaon,Finance,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-series A,2020
Ensuredit,2019,Gurgaon,Finance,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Pre-series A,2020
Shipsy,2015,Gurgaon,Technology,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000.0,Series A,2020
Yellow Classes,2020,Gurgaon,Education,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Pre-series A,2020
Country Delight,2015,Haryana,Food & Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Series C,2020
SignalX,2018,Hyderabad,Technology,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Pre-series A,2020
Krimanshi,2015,Jodhpur,Health,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Pre-series A,2020
Instoried,2018,Bangalore,Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Pre-series A,2020
PlayerzPot,2015,Mumbai,Manufacturing,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",Unknown,3000000.0,Series A,2020
Arata,2017,New Delhi,Commerce,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000.0,Pre-series A,2020
Nepra,2006,Ahmedabad,Technology,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C,2020
MindTickle,2011,Pune,Technology,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,"Deepak Diwakar, Krishna Depura, Mohit Garg, Nishant Mungali","Canaan Partners, NewView Capital",100000000.0,Debt,2020
Slice,2016,Bangalore,Finance,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,"Deepak Malhotra, Rajan Bajaj","Better Capital, Gunosy",5000000.0,Debt,2020
Rapawalk,2017,Bangalore,Commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,"Kashif Mohammad, Aravind Maddireddy","Sanjay Ramakrishnan, Ravi Garikipati",300000.0,Pre-series A,2020
Clientjoy,2013,Gujarat,Technology,Client Management Software For Modern Agencies.,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000.0,Pre-series A,2020
MoooFarm,2019,Gurgaon,Agriculture,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,"Param Singh, Aashna Singh, Abhijeet Mittal, Jitesh Arora","Navus Ventures, Rockstart",500000.0,Pre-series A,2020
BitClass,2020,Bangalore,Technology,BitClass is a PaaS solution which helps teachers set up their independent live classes,"Gunjan Kejriwal, Utsav Tiwary","AET Japan, Figure Eight Investments, Waterbridge Ventures",2000000.0,Pre-series A,2020
Gonuts,2020,Mumbai,Media & Entertainment,Personalised Video shoutouts from favourite celebrity.,"Vinamra Pandiya, Mayank Gupta, Joji George","Sweta Rau, Archana Priyadarshini",400000.0,Pre-series A,2020
Uolo,2013,Bangalore,Education,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,"Pallav Pandey, Ankur Pandey, Siddharth Singh","Rajul Garg, Purvi Capital",2000000.0,Pre-series A,2020
Kirana King,2014,Jaipur,Commerce,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Anup Kumar,Rajasthan Venture Capital Fund,900000.0,Pre-series A,2020
Jade Forest,2016,New Delhi,Food & Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.","Punweet Singh, Shuchir Suri",Unknown,250000.0,Pre-series A,2020
FrontRow,2016,Bangalore,Education,"Comprehensive courses, taught by idols.","Mikhil Raj, Shubhadit Sharma, Ishaan Preet Singh","Lightspeed, Elevation, Deepika Padukone",3200000.0,Pre-series A,2020
Ather Energy,2013,Bangalore,Technology,Ather Energy is a manufacturer of electric scooters.,"Arun Vinayak, Swapnil Jain, Tarun Mehta",HeroMotoCorp Ltd and Sachin Bansal,35000000.0,Series D,2020
Eggoz,2016,Indore,Food & Beverages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.","Abhishek Negi, Aditya Singh, Pankaj Pandey, Uttam Kumar","AVANA Capital, Rebright Partners",1500000.0,Pre-series A,2020
CHARGE+ZONE,2018,Gujarat,Manufacturing,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.","Kartikey Hariyani, Pavan Bakeri",Mumbai Angels,3000000.0,Pre-series A,2020
Stones2milestones,2008,Gurgaon,Education,Stones2milestones is India (Delhi) Based EdTech Company,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Bridge Round,2020
Udacity,2011,California,Education,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.","David Stavens, Mike Sokolsky, Sebastian Thrun","Hercules Capital, Inc.Bertelsmann",75000000.0,Debt,2020
AjnaLens,2014,Thane,Technology,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.","Abhijit Patil, Abhishek Tomar, Pankaj Raut","Mohsin Hani Al Bahrani, MoD",1000000.0,Bridge Round,2020
Gully Network,2019,Bangalore,Commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,"Ajay Nain, Prateek Chaturvedi","CP Ventures, Orios Venture Partners",1200000.0,Pre-series A,2020
TurboHire,2018,Hyderabad,Business Intelligence,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,"Abhishek Kabra, Aman Gour","Kia Ora Ventures, Pentathlon Ventures",1000000.0,Pre-series A,2020
Freshokartz,2016,Jaipur,Agriculture,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides","Chandrakanta, Rajendra Lora","Rajasthan Venture Capital Fund, Innovana Thinklabs",1000000.0,Pre-series A,2020
FlexiLoans,2016,Mumbai,Finance,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.","Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",>Vikram Sud,6000000.0,Debt,2020
FreshtoHome,2015,Bangalore,Commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,"Ascent Capital, Iron Pillar",121000000.0,Series C,2020
Railofy,2019,Mumbai,Transport,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi","Roots Ventures, Better Capital",5000000.0,Pre-series A,2020
Teachmint,2020,Bangalore,Education,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar",Lightspeed India,3500000.0,Pre-series A,2020
Janani,2020,Bangalore,Technology,Janani aims to make the process of infertility treatment and assisted fertilisation easier,Nilay Mehrotra,9Unicorns,200000.0,Pre-series A,2020
Credgenics,2018,Gurgaon,Finance,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel, Sunder Nookala",3300000.0,Pre-series A,2020
Jumbotail,2015,Bangalore,Commerce,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.","Ashish Jhina, Karthik Venkateswaran",Nexus Venture Partners and 23 High Networth Individuals (HNIs),11000000.0,Series B,2020
mCaffeine,2015,Mumbai,Beauty & Fashion,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital",5000000.0,Series B,2020
Pocket FM,2018,Bangalore,Commerce,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,Rohan Nayak,"Times Group, Lightspeed",5000000.0,Series A,2020
Jumbotail,2015,Bangalore,Commerce,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,"Ashish Jhina, Karthik Venkateswaran","Nexus Venture Partners, Capria Ventures",11000000.0,Series B,2020
Origo,2010,Gurgaon,Agriculture,Provider of marketing and warehousing services for agricultural commodities.,"Sunoor Kaul,",Northern Arc Capital,4000000.0,Debt,2020
GetVantage,2019,Mumbai,Finance,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra","Samyakth Capital, Venture Catalysts",5000000.0,Pre-series A,2020
Betterplace,2015,Bangalore,Technology,Developer of a digital verification platform designed to manage the semi-formal workforce.,"Saurabh Tandan, Pravin Agarwala",Jungle Ventures,10000000.0,Series B,2020
Biddano,2016,Mumbai,Health,India's 1st tech-enabled healthcare logistics platform.,Talha Shaikh,Windrose Capital,600000.0,Pre-series A,2020
InVideo,2017,Mumbai,Media & Entertainment,InVideo enables you to transform your content into great videos.,"Harsh Vakharia, Pankit Chheda, Sanket Shah","Base Partners, Sequoia Capital India",15000000.0,Series A,2020
Arzooo,2016,Bangalore,Commerce,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",7500000.0,Series A,2020
Hubilo,2020,San Francisco,Technology,World’s smartest virtual event platform that brings Experience & Intelligence together,"Mayank Agarwal, Vaibhav Jain","Nishant Rao, Jonathan Boutelle",4500000.0,Pre-series A,2020
BASIC Home Loan,2020,Gurgaon,Finance,"A platform for automating home loans for middle and low-income households in India,",Atul Monga,Picus Capital,5000000.0,Pre-series A,2020
SUGAR cosmetics,2012,Mumbai,Beauty & Fashion,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,"Kasuhik Mukherjee, Vineeta Singh","A91 Partners, RB Investments Pte. Ltd",2000000.0,Debt,2020
Tekion,2016,San Ramon,Technology,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,"Guru Sankararaman, Jay Vijayan","Alliance Ventures, Storm Ventures",150000000.0,Series C,2020
EzeRx,2018,Kolkata,Education,Developer and manufacturer of medical devices,"Amit mandahar, Chaitali roy","Indian Oil Corporation, Krishna Chakravarty",200000.0,Pre-series A,2020
VitalTech,2018,Plano,Technology,"VitalTech is a develop technologies that empower patients to better care for their safety,",Anjan Panneer Selvam,Tech Mahindra,3000000.0,Pre-series A,2020
Ultraviolette Automotive,2014,Bangalore,Technology,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,4000000.0,Series B,2020
Rare Planet,2015,Kolkata,Commerce,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,400000.0,Pre-series A,2020
GoodGamer,2020,Bangalore,Manufacturing,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,Unknown,2500000.0,Pre-series A,2020
InnAccel,2012,Bangalore,Education,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,1500000.0,Pre-series A,2020
HobSpace,2019,Mumbai,Education,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,200000.0,Pre-series A,2020
Supplynote,2015,Noida,Technology,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV",500000.0,Pre-series A,2020
ShopUp,2017,Bangladesh,Commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital",22000000.0,Series A,2020
Dukaan,2020,Mumbai,Technology,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.",6000000.0,Pre-series A,2020
Satyukt,2018,Bangalore,Agriculture,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)",500000.0,Pre-series A,2020
TREAD,2020,Bangalore,LifeStyle,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal",1100000.0,Pre-series A,2020
Anveshan,2019,Bangalore,Food & Beverages,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,100000.0,Pre-series A,2020
TeaMonk,2016,Bangalore,Food & Beverages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures",900000.0,Pre-series A,2020
Fleetx,2017,Gurgaon,Technology,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat",3000000.0,Pre-series A,2020
Avataa Me,2014,Bangalore,Technology,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,7000000.0,Series A,2020
Clair,2019,New York,Finance,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures",4500000.0,Pre-series A,2020
Miko,2015,Mumbai,Technology,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital",3000000.0,Pre-series A,2020
Razorpay,2014,Bangalore,Finance,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India",100000000.0,Series D,2020
Wow! Momo,2008,Kolkata,Food & Beverages,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell",5000000.0,Debt,2020
Pepper Content,2017,Mumbai,Commerce,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari",4200000.0,Series A,2020
LIVSPACE,2014,Bangalore,LifeStyle,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners",4000000.0,Debt,2020
Acculi Labs,2017,Bangalore,Health,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,600000.0,Pre-series A,2020
Unnati,2017,Noida,Agriculture,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,1700000.0,Pre-series A,2020
Disprz,2015,Chennai,Education,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital",1600000.0,Pre-series A,2020
Uni,2016,Mumbai,Finance,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India",18500000.0,Pre-series A,2020
Credit Wise Capital,1994,Mumbai,Finance,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,6000000.0,Pre-series A,2020
Chargebee,2011,San Francisco,Technology,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital",55000000.0,Series F,2020
Livve,2015,Kochi,Real Estate,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,Unknown,1500000.0,Pre-series A,2020
Ergos,2012,Samastipur,Agriculture,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures",5000000.0,Series A,2020
Krishitantra,2017,Hyderabad,Technology,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore",1000000.0,Pre-series A,2020
Monet Networks,2014,Irvine,Technology,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"SenseAI Ventures, EvoNexus",500000.0,Bridge Round,2020
NirogStreet,2016,Gurgaon,Technology,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray",2000000.0,Pre-series A,2020
Fanball XI,2016,New Delhi,Manufacturing,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,1000000.0,Pre-series A,2020
GPS Renewables,2010,Bangalore,Technology,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian",3000000.0,Series A,2020
Legal Salah,2015,Kolkata,Business Intelligence,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,1000000.0,Pre-series A,2020
Coralogix,2013,San Francisco,Technology,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners",25000000.0,Series B,2020
ShipsKart,2018,New Delhi,Commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,200000.0,Pre-series A,2020
